time,instrument,granularity,side,price,position_size,equity,drawdown
2025-12-03 11:45:00+00:00,EUR_USD,M15,FLAT,1.16656,0.0,100156.76,0.000233
2025-12-03 12:45:00+00:00,EUR_USD,M15,BUY,1.1663,2503.92,100156.76,0.000233
2025-12-04 09:30:00+00:00,EUR_USD,M15,FLAT,1.16758,0.0,100159.51,0.000206
2025-12-04 15:30:00+00:00,EUR_USD,M15,BUY,1.16741,2503.99,100159.51,0.000206
2025-12-04 21:30:00+00:00,EUR_USD,M15,FLAT,1.16444,0.0,100153.14,0.000269
2025-12-05 15:15:00+00:00,EUR_USD,M15,BUY,1.16564,2503.83,100153.14,0.000269
2025-12-05 18:45:00+00:00,EUR_USD,M15,FLAT,1.16428,0.0,100150.22,0.000299
2025-12-08 07:30:00+00:00,EUR_USD,M15,BUY,1.16606,2503.76,100150.22,0.000299
2025-12-08 16:15:00+00:00,EUR_USD,M15,FLAT,1.16192,0.0,100141.32,0.000387
2025-12-08 16:30:00+00:00,EUR_USD,M15,BUY,1.16266,2503.53,100141.32,0.000387
2025-12-08 18:15:00+00:00,EUR_USD,M15,FLAT,1.16356,0.0,100143.26,0.000368
2025-12-09 09:00:00+00:00,EUR_USD,M15,BUY,1.1646,2503.58,100143.26,0.000368
2025-12-09 17:30:00+00:00,EUR_USD,M15,FLAT,1.16254,0.0,100138.83,0.000412
2025-12-10 11:00:00+00:00,EUR_USD,M15,BUY,1.16325,2503.47,100138.83,0.000412
2025-12-10 19:00:00+00:00,EUR_USD,M15,FLAT,1.16692,0.0,100146.72,0.000333
2025-12-10 19:15:00+00:00,EUR_USD,M15,BUY,1.16644,2503.67,100146.72,0.000333
2025-12-11 04:30:00+00:00,EUR_USD,M15,FLAT,1.16864,0.0,100151.46,0.000286
2025-12-11 04:45:00+00:00,EUR_USD,M15,BUY,1.16903,2503.79,100151.46,0.000286
2025-12-11 12:30:00+00:00,EUR_USD,M15,FLAT,1.17166,0.0,100157.09,0.00023
2025-12-11 13:00:00+00:00,EUR_USD,M15,BUY,1.17152,2503.93,100157.09,0.00023
